1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 14, 12, 13, 10, 15, 0
1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 14, 12, 13, 11, 10, 15
1, 2, 3, 4, 5, 6, 8, 12, 0, 9, 10, 7, 13, 14, 11, 15
1, 3, 4, 8, 5, 2, 7, 0, 9, 6, 10, 12, 13, 14, 11, 15
2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15
1, 2, 7, 3, 5, 6, 11, 4, 9, 10, 8, 12, 13, 14, 15, 0
1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15, 9, 13, 14, 0
1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 0, 12, 13, 11, 7, 15
1, 7, 2, 4, 5, 0, 3, 8, 9, 6, 11, 12, 13, 10, 14, 15
2, 3, 0, 4, 1, 5, 7, 8, 9, 6, 11, 12, 13, 10, 14, 15
1, 2, 4, 8, 5, 0, 6, 3, 9, 10, 7, 11, 13, 14, 15, 12
1, 2, 3, 4, 5, 6, 8, 11, 9, 14, 10, 7, 13, 0, 15, 12
5, 1, 2, 4, 9, 6, 3, 8, 0, 10, 7, 11, 13, 14, 15, 12
1, 6, 2, 3, 5, 10, 7, 4, 9, 14, 11, 8, 13, 0, 15, 12
1, 2, 3, 4, 5, 7, 11, 8, 9, 6, 12, 15, 13, 10, 14, 0
1, 2, 4, 7, 5, 6, 3, 8, 9, 10, 0, 11, 13, 14, 15, 12
1, 2, 3, 4, 6, 0, 7, 8, 5, 14, 10, 12, 9, 13, 11, 15
1, 2, 3, 4, 5, 0, 7, 8, 14, 6, 10, 12, 9, 13, 11, 15
1, 3, 6, 4, 5, 2, 8, 0, 9, 10, 7, 11, 13, 14, 15, 12
1, 2, 0, 4, 6, 7, 3, 8, 5, 9, 10, 11, 13, 14, 15, 12
0, 1, 2, 3, 5, 6, 8, 4, 9, 10, 7, 11, 13, 14, 15, 12
1, 2, 3, 4, 5, 6, 7, 0, 9, 15, 11, 8, 13, 10, 14, 12
1, 6, 2, 4, 5, 10, 3, 8, 0, 9, 7, 12, 13, 14, 11, 15
1, 2, 3, 4, 6, 9, 7, 8, 5, 11, 0, 12, 13, 10, 14, 15
1, 2, 3, 4, 5, 7, 8, 12, 9, 6, 11, 15, 13, 10, 14, 0
