1, 6, 2, 3, 9, 5, 7, 4, 13, 10, 12, 8, 0, 14, 11, 15
2, 6, 3, 4, 1, 9, 7, 8, 13, 5, 10, 12, 0, 14, 11, 15
2, 0, 7, 3, 1, 5, 11, 4, 9, 6, 10, 8, 13, 14, 15, 12
1, 2, 3, 4, 5, 6, 7, 8, 10, 15, 14, 0, 9, 13, 12, 11
1, 0, 7, 3, 5, 2, 10, 4, 9, 11, 6, 8, 13, 14, 15, 12
1, 6, 2, 4, 5, 3, 7, 8, 9, 14, 10, 11, 0, 13, 15, 12
1, 2, 3, 4, 9, 5, 10, 8, 7, 0, 6, 11, 13, 14, 15, 12
1, 2, 8, 3, 5, 7, 11, 4, 9, 6, 12, 0, 13, 10, 14, 15
1, 2, 3, 4, 5, 11, 6, 7, 9, 10, 12, 8, 0, 13, 14, 15
2, 0, 3, 4, 1, 7, 11, 8, 5, 9, 6, 12, 13, 10, 14, 15
2, 3, 6, 4, 1, 5, 7, 8, 9, 0, 10, 12, 13, 14, 11, 15
1, 2, 3, 4, 5, 6, 7, 8, 13, 0, 12, 15, 10, 9, 14, 11
1, 3, 8, 0, 5, 2, 4, 7, 9, 6, 11, 12, 13, 10, 14, 15
1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 15, 14, 13, 11, 10, 12
1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 11, 12, 14, 15, 0, 10
1, 2, 4, 8, 5, 7, 10, 3, 9, 6, 15, 11, 13, 14, 0, 12
1, 2, 4, 8, 5, 6, 3, 12, 10, 11, 7, 0, 9, 13, 14, 15
1, 3, 7, 4, 5, 2, 10, 8, 9, 0, 11, 12, 13, 6, 14, 15
1, 2, 3, 4, 5, 6, 8, 15, 9, 12, 7, 0, 13, 10, 14, 11
1, 2, 3, 4, 9, 5, 6, 8, 11, 10, 7, 12, 0, 13, 14, 15
1, 2, 3, 4, 5, 6, 10, 7, 9, 14, 8, 0, 13, 11, 15, 12
1, 3, 4, 8, 5, 2, 6, 12, 9, 10, 7, 15, 13, 14, 0, 11
1, 2, 3, 4, 5, 6, 0, 11, 9, 14, 10, 7, 13, 15, 12, 8
1, 2, 4, 8, 5, 10, 6, 3, 9, 14, 7, 11, 13, 15, 0, 12
1, 3, 4, 8, 6, 2, 0, 7, 5, 9, 10, 11, 13, 14, 15, 12
