4, 1, 3, 7, 5, 6, 8, 2, 0
0, 2, 4, 1, 6, 3, 7, 5, 8
5, 1, 3, 4, 2, 6, 7, 8, 0
2, 3, 6, 4, 1, 5, 0, 7, 8
1, 2, 3, 6, 7, 8, 4, 5, 0
2, 6, 0, 1, 3, 5, 4, 7, 8
2, 3, 6, 1, 4, 8, 0, 7, 5
0, 2, 3, 1, 6, 8, 5, 4, 7
7, 1, 3, 5, 2, 6, 0, 4, 8
4, 1, 2, 8, 0, 3, 7, 6, 5
1, 3, 5, 4, 6, 8, 7, 2, 0
1, 8, 2, 4, 6, 3, 0, 7, 5
1, 4, 2, 7, 0, 3, 8, 6, 5
5, 3, 0, 2, 1, 6, 4, 7, 8
1, 3, 8, 4, 0, 2, 7, 6, 5
1, 2, 3, 7, 8, 4, 5, 6, 0
1, 3, 0, 6, 2, 8, 4, 7, 5
1, 3, 6, 5, 0, 8, 4, 2, 7
0, 3, 5, 1, 8, 2, 4, 7, 6
5, 2, 0, 1, 8, 3, 4, 7, 6
1, 5, 2, 7, 0, 4, 8, 6, 3
0, 1, 2, 4, 7, 3, 8, 5, 6
4, 1, 2, 5, 0, 8, 7, 6, 3
0, 2, 6, 1, 3, 5, 4, 7, 8
2, 3, 6, 1, 7, 5, 4, 8, 0
