3, 4, 5, 0, 1, 2, 7, 8, 6
5, 4, 2, 7, 1, 3, 8, 0, 6
2, 0, 3, 1, 6, 8, 5, 4, 7
1, 4, 2, 7, 3, 0, 5, 8, 6
2, 3, 6, 0, 5, 8, 1, 4, 7
1, 3, 6, 2, 7, 8, 4, 0, 5
2, 5, 3, 7, 4, 6, 1, 0, 8
1, 0, 5, 4, 3, 8, 7, 6, 2
4, 0, 2, 5, 1, 6, 7, 3, 8
2, 8, 3, 1, 7, 0, 4, 6, 5
1, 3, 6, 0, 2, 8, 5, 4, 7
1, 2, 6, 0, 3, 5, 4, 7, 8
2, 4, 3, 8, 7, 5, 1, 0, 6
1, 6, 2, 7, 4, 0, 5, 8, 3
3, 4, 6, 1, 2, 0, 7, 5, 8
4, 0, 3, 2, 5, 6, 1, 7, 8
1, 5, 2, 7, 4, 6, 3, 0, 8
4, 0, 2, 8, 1, 3, 5, 7, 6
2, 7, 3, 1, 6, 0, 5, 4, 8
1, 0, 2, 3, 5, 6, 4, 7, 8
3, 0, 5, 1, 2, 6, 4, 7, 8
1, 0, 2, 5, 8, 3, 4, 6, 7
1, 2, 3, 6, 8, 5, 4, 0, 7
7, 0, 3, 2, 1, 6, 5, 4, 8
2, 3, 5, 0, 8, 4, 1, 7, 6
