2, 3, 5, 1, 8, 0, 4, 7, 6
2, 0, 6, 1, 3, 5, 4, 7, 8
2, 5, 3, 4, 1, 6, 7, 0, 8
4, 1, 2, 5, 3, 6, 7, 0, 8
4, 2, 3, 5, 1, 0, 7, 8, 6
1, 5, 2, 0, 4, 6, 7, 3, 8
1, 0, 2, 4, 5, 6, 7, 3, 8
1, 5, 2, 0, 7, 3, 8, 4, 6
4, 1, 3, 0, 7, 6, 5, 2, 8
1, 5, 2, 4, 6, 0, 7, 3, 8
1, 2, 3, 7, 8, 4, 5, 0, 6
1, 6, 2, 5, 7, 3, 4, 0, 8
4, 1, 2, 7, 5, 0, 8, 6, 3
2, 4, 3, 1, 6, 8, 7, 0, 5
2, 3, 5, 0, 1, 4, 7, 8, 6
5, 4, 2, 1, 8, 3, 7, 0, 6
1, 5, 2, 4, 6, 8, 7, 0, 3
2, 0, 4, 1, 5, 3, 7, 8, 6
4, 0, 3, 7, 1, 6, 5, 2, 8
1, 3, 8, 4, 2, 0, 7, 6, 5
1, 2, 3, 7, 6, 8, 5, 0, 4
4, 1, 2, 7, 6, 3, 5, 0, 8
1, 2, 3, 8, 5, 6, 4, 0, 7
1, 0, 2, 7, 4, 3, 8, 6, 5
2, 3, 6, 1, 4, 8, 7, 0, 5
