1, 3, 13, 4, 0, 6, 2, 8, 5, 11, 7, 12, 10, 9, 14, 15
1, 2, 3, 4, 5, 12, 6, 7, 13, 0, 11, 10, 14, 9, 15, 8
1, 2, 4, 8, 5, 10, 6, 3, 13, 0, 14, 7, 15, 9, 12, 11
1, 6, 2, 3, 5, 10, 4, 15, 9, 8, 11, 0, 13, 14, 12, 7
2, 7, 3, 4, 6, 1, 8, 12, 13, 5, 9, 10, 0, 14, 11, 15
3, 0, 6, 4, 1, 5, 11, 7, 9, 2, 14, 10, 13, 15, 12, 8
5, 1, 3, 4, 6, 9, 7, 8, 13, 2, 15, 10, 14, 11, 0, 12
1, 2, 4, 7, 9, 5, 6, 3, 11, 0, 14, 8, 13, 12, 10, 15
1, 11, 6, 2, 5, 4, 8, 3, 9, 10, 15, 7, 13, 14, 0, 12
1, 2, 3, 4, 8, 10, 0, 12, 6, 14, 9, 7, 5, 13, 11, 15
2, 0, 4, 8, 1, 5, 6, 3, 13, 10, 9, 11, 14, 15, 7, 12
1, 0, 3, 4, 14, 2, 6, 7, 9, 5, 10, 8, 13, 15, 11, 12
1, 10, 6, 2, 5, 3, 8, 4, 13, 9, 11, 7, 0, 14, 15, 12
1, 2, 3, 4, 9, 6, 5, 7, 11, 0, 12, 8, 13, 14, 10, 15
6, 1, 3, 4, 2, 7, 10, 8, 13, 0, 5, 11, 14, 15, 9, 12
1, 0, 2, 4, 5, 6, 3, 14, 9, 12, 8, 7, 13, 10, 11, 15
2, 0, 7, 3, 1, 5, 6, 4, 9, 10, 8, 12, 13, 14, 15, 11
1, 2, 3, 4, 9, 8, 12, 11, 6, 7, 14, 5, 13, 10, 0, 15
1, 7, 2, 4, 5, 15, 3, 8, 14, 0, 10, 11, 9, 6, 13, 12
1, 7, 4, 8, 3, 2, 0, 6, 5, 9, 10, 12, 13, 14, 11, 15
1, 2, 3, 4, 13, 5, 7, 8, 9, 14, 11, 12, 10, 6, 0, 15
1, 0, 4, 12, 5, 2, 3, 11, 9, 7, 6, 15, 13, 10, 8, 14
6, 5, 2, 4, 0, 9, 3, 8, 13, 1, 10, 12, 14, 11, 7, 15
5, 1, 7, 4, 0, 10, 3, 8, 9, 6, 2, 11, 13, 14, 15, 12
5, 1, 3, 4, 13, 2, 7, 8, 10, 0, 11, 12, 6, 14, 9, 15
